,,,
Batch:10. Learning rate: 0.001,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
41000,26.58730158730159,78.80148652833695,6.258399851803698,28.907
42000,26.785714285714285,78.90987921957262,6.18332692206352,29.605
43000,26.58730158730159,79.11117993186745,6.137175726549111,30.305
44000,26.58730158730159,79.31248064416228,6.0892443596663215,31.005
45000,26.785714285714285,79.25054196345617,5.996671296443598,31.702
46000,26.785714285714285,79.56023536698669,5.953197587413075,32.402
47000,27.083333333333332,79.73056673892846,5.897196748294346,33.103
48000,27.281746031746028,79.746051409105,5.790532847110337,33.798
49000,27.579365079365083,79.96283679157634,5.761527255910712,34.494
50000,27.48015873015873,80.07122948281202,5.7141209956806875,35.192
51000,27.579365079365083,80.14865283369464,5.665224634726814,35.886
52000,27.77777777777778,80.45834623722514,5.602260223236501,36.59
53000,28.075396825396826,80.44286156704862,5.5374205157992895,37.288
54000,27.976190476190478,80.5512542582843,5.4809888265605915,37.983
55000,28.273809523809522,80.6751316196965,5.444729738187523,38.681
56000,28.670634920634917,80.984825023227,5.420849136015947,39.377
57000,28.869047619047617,81.13967172499225,5.3456599364472,40.076
58000,28.76984126984127,81.1087023846392,5.293248948034839,40.774
59000,28.869047619047617,81.2945184267575,5.249758254873897,41.471
60000,29.06746031746032,81.34097243728708,5.1906766672926,42.167
61000,29.563492063492063,81.46484979869929,5.1446639995822325,42.861
62000,29.365079365079367,81.49581913905234,5.080003272445757,43.557
63000,29.96031746031746,81.6506658408176,5.026283335455592,44.257
64000,29.761904761904763,81.61969650046454,4.972307161149905,44.949
65000,30.158730158730158,81.86745122328894,4.9520817826320425,45.642
66000,30.357142857142854,82.05326726540724,4.922462605564864,46.341
67000,30.456349206349202,82.09972127593682,4.877516225952805,47.036
68000,30.753968253968257,82.13069061628987,4.840902736702382,47.735
69000,30.853174603174605,82.30102198823165,4.783489808731788,48.439
70000,31.150793650793652,82.2700526478786,4.731275433617397,49.141
71000,31.448412698412696,82.28553731805512,4.672965365016294,49.848
72000,31.448412698412696,82.47135336017342,4.6420132708723845,50.541
73000,31.448412698412696,82.47135336017342,4.589303931940008,51.244
74000,32.0436507936508,82.62620006193868,4.542154462206239,51.963
75000,32.53968253968254,82.76556209352741,4.518472701015637,52.658
76000,32.44047619047619,82.87395478476309,4.47444157496884,53.36
77000,32.73809523809524,82.78104676370394,4.439692522188838,54.055
78000,32.53968253968254,83.01331681635182,4.41945105689711,54.756
79000,32.63888888888889,83.02880148652834,4.377253357090013,55.452
80000,33.13492063492063,83.18364818829359,4.346276105736333,56.154
81000,33.432539682539684,83.26107153917621,4.28594441472116,56.851
82000,33.53174603174603,83.21461752864664,4.259808891631169,57.549
83000,33.92857142857143,83.27655620935273,4.199132344712765,58.243
84000,33.92857142857143,83.33849489005884,4.1757046012996994,58.944
85000,34.12698412698413,83.47785692164756,4.168024991489058,59.642
86000,34.523809523809526,83.60173428305977,4.130344997432679,60.34
87000,34.92063492063492,83.53979560235368,4.061200516591071,61.04
88000,34.92063492063492,83.58624961288325,4.019603287539876,61.735
89000,35.019841269841265,83.63270362341282,4.009853430674821,62.431
90000,35.51587301587302,83.83400433570765,4.005364367286318,63.123
91000,35.81349206349206,83.9269123567668,3.9415790133464657,63.819
92000,36.01190476190476,83.83400433570765,3.9052640204255913,64.515
93000,35.91269841269841,83.91142768659027,3.8798425862499015,65.208
94000,36.11111111111111,84.00433570764943,3.8758131163604594,65.91
95000,37.202380952380956,84.14369773923815,3.8147995062328564,66.608
96000,37.59920634920635,84.34499845153299,3.8268937527800855,67.31
97000,37.698412698412696,84.32951378135645,3.791609907756925,68.006
98000,38.2936507936508,84.43790647259213,3.7612030302515445,68.702
99000,38.2936507936508,84.59275317435738,3.7308706633178366,69.397
100000,38.78968253968254,84.6082378445339,3.7089485935885085,70.091
