,,,
Lag 1. Batch:1. Learning rate: 0.001,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
61000,46.62698412698413,85.2740786621245,4.007132865677308,42.26
62000,46.92460317460318,85.47537937441932,3.931039139610119,42.942
63000,47.32142857142857,85.67668008671416,3.887947902059152,43.623
64000,47.61904761904761,85.83152678847941,3.8420192905143824,44.311
65000,48.71031746031746,85.92443480953855,3.7901066938986605,44.999
66000,48.71031746031746,86.0792815113038,3.7384973244015463,45.692
67000,49.007936507936506,85.92443480953855,3.691912149430605,46.381
68000,49.60317460317461,85.92443480953855,3.6292591013920954,47.078
69000,50,85.87798079900898,3.551120775319608,47.765
70000,50.198412698412696,85.98637349024466,3.501669612507467,48.453
71000,50.89285714285714,86.09476618148034,3.435362771007103,49.147
72000,50.99206349206349,86.17218953236296,3.4092847937806834,49.836
73000,51.19047619047619,86.32703623412822,3.3651302160182617,50.524
74000,51.19047619047619,86.37349024465779,3.338334737977076,51.216
75000,51.88492063492064,86.69866831836482,3.3310340434525374,51.899
76000,52.28174603174603,86.77609166924745,3.2710606373087403,52.588
77000,52.480158730158735,86.76060699907092,3.243130001942073,53.287
78000,52.87698412698413,86.8689996903066,3.193372870115306,53.975
79000,52.77777777777778,87.03933106224837,3.1660660364173383,54.666
80000,52.77777777777778,86.97739238154227,3.1413204129558654,55.353
81000,53.67063492063492,87.07030040260142,3.0807336606015694,56.041
82000,53.37301587301587,87.25611644471972,3.0953165739076116,56.726
83000,53.86904761904761,87.28708578507278,3.05665512540417,57.419
84000,54.46428571428571,87.28708578507278,3.0029625057521945,58.105
85000,55.158730158730165,87.45741715701456,2.968677884181781,58.792
86000,55.05952380952381,87.48838649736761,2.9307022581474502,59.485
87000,55.35714285714286,87.5503251780737,2.8980138700339095,60.166
88000,55.35714285714286,87.65871786930938,2.8662702145541634,60.852
89000,55.75396825396825,87.75162589036853,2.875477642297358,61.543
90000,56.547619047619044,87.86001858160421,2.819558558390416,62.233
91000,56.34920634920635,87.9064725921338,2.8062869116980016,62.923
92000,56.051587301587304,87.93744193248683,2.7957082102335846,63.619
93000,56.64682539682539,88.15422731495819,2.784776839500206,64.312
94000,56.74603174603175,88.16971198513471,2.7602708408353274,65.005
95000,57.14285714285714,88.30907401672344,2.7408263416768843,65.697
96000,57.738095238095234,88.3400433570765,2.691994106544886,66.381
97000,58.53174603174603,88.38649736760607,2.6383849446926573,67.075
98000,58.82936507936508,88.49489005884175,2.600155587477596,67.775
99000,58.730158730158735,88.4639207184887,2.598105132594162,68.47
100000,58.82936507936508,88.54134406937132,2.584076683301268,69.163
101000,58.82936507936508,88.61876742025395,2.551551320638854,69.852
102000,59.226190476190474,88.68070610096005,2.5324258734079095,70.539
103000,59.42460317460318,88.72716011148962,2.54222583311699,71.235
104000,59.72222222222222,88.72716011148962,2.4913076293802883,71.927
105000,60.51587301587301,88.78909879219573,2.463131351840041,72.616
106000,60.813492063492056,88.8974914834314,2.434813447168704,73.296
107000,60.813492063492056,88.91297615360793,2.439566135786911,73.98
108000,61.011904761904766,89.02136884484361,2.434130226023573,74.669
109000,61.30952380952381,89.11427686590275,2.3840083730869073,75.365
110000,61.80555555555556,89.19170021678539,2.3671196970831536,76.057
111000,62.202380952380956,89.23815422731496,2.319486326777525,76.748
112000,62.40079365079365,89.23815422731496,2.2972198687693344,77.437
113000,62.698412698412696,89.22266955713843,2.2712632530620045,78.119
114000,62.99603174603175,89.33106224837411,2.263592822774691,78.807
115000,62.698412698412696,89.30009290802106,2.271833676587407,79.496
116000,62.99603174603175,89.39300092908022,2.2717711273990604,80.187
117000,63.19444444444444,89.50139362031588,2.2572323642175944,80.881
118000,63.78968253968254,89.45493960978631,2.208549289200671,81.579
119000,63.591269841269835,89.40848559925674,2.1809751637973234,82.281
120000,63.888888888888886,89.6252709817281,2.1829531544021012,82.968
121000,63.988095238095234,89.64075565190461,2.1727082293274753,83.654
122000,63.988095238095234,89.65624032208113,2.1546575662862892,84.35
123000,64.38492063492063,89.82657169402292,2.1472398215089386,85.04
124000,64.28571428571429,89.71817900278725,2.1363749902931057,85.732
125000,64.38492063492063,89.76463301331682,2.1141246475084094,86.419
126000,64.38492063492063,89.78011768349334,2.1059135719159645,87.103
127000,64.78174603174604,89.88851037472901,2.091805358860347,87.788
128000,65.27777777777779,89.96593372561165,2.074676449520604,88.469
129000,65.27777777777779,89.98141839578817,2.0551417456276684,89.153
130000,65.07936507936508,89.98141839578817,2.0557488308025276,89.835
131000,64.98015873015873,90.01238773614122,2.06486908608891,90.519
132000,64.88095238095238,90.08981108702385,2.0582100714694893,91.203
133000,65.27777777777779,90.07432641684731,2.0495580779339537,91.882
134000,65.27777777777779,90.08981108702385,2.0348403937668733,92.561
135000,65.87301587301587,90.22917311861256,2.0079798367423822,93.248
136000,66.26984126984127,90.32208113967172,1.9855207851491155,93.93
137000,66.56746031746032,90.41498916073087,1.9811876633248475,94.614
138000,66.26984126984127,90.4304738309074,1.9755735919503827,95.295
139000,66.46825396825396,90.38401982037783,1.953921578552336,95.983
140000,66.46825396825396,90.39950449055435,1.9559011310803767,96.67
141000,66.96428571428571,90.50789718179003,1.933388240861629,97.354
142000,67.36111111111111,90.64725921337875,1.9282125673121442,98.041
143000,67.1626984126984,90.56983586249613,1.9165952325344466,98.729
144000,67.55952380952381,90.6162898730257,1.8969911997820823,99.427
145000,67.65873015873017,90.69371322390833,1.8990882114126528,100.116
146000,67.95634920634922,90.80210591514401,1.8777549082022822,100.805
147000,67.7579365079365,90.81759058532053,1.8826597856834668,101.494
148000,67.46031746031747,90.7401672344379,1.8826295512414584,102.186
149000,68.15476190476191,90.80210591514401,1.872275498179641,102.876
150000,68.45238095238095,90.86404459585012,1.859675164174182,103.566
151000,68.45238095238095,90.92598327655621,1.8508731098972169,104.261
152000,68.15476190476191,90.87952926602664,1.8550150911643983,104.951
153000,68.5515873015873,91.01889129761535,1.8464187043174263,105.64
154000,68.5515873015873,91.06534530814494,1.8368676603914114,106.328
155000,68.45238095238095,91.04986063796842,1.8316342546569078,107.014
156000,68.5515873015873,91.06534530814494,1.8225865117171893,107.699
157000,69.14682539682539,91.15825332920409,1.8019157543217676,108.384
158000,69.24603174603175,91.20470733973366,1.7897763751556786,109.074
159000,69.24603174603175,91.15825332920409,1.7917904156757412,109.761
160000,69.24603174603175,91.1737379993806,1.786322365641889,110.456
161000,69.34523809523809,91.12728398885103,1.7766599064234523,111.134
162000,69.94047619047619,91.23567668008673,1.7528810698211112,111.819
163000,69.84126984126983,91.2821306906163,1.7373500299227862,112.508
164000,69.84126984126983,91.35955404149891,1.7363138311010682,113.187
165000,70.13888888888889,91.29761536079282,1.7163782964864827,113.871
166000,70.03968253968253,91.40600805202848,1.7221064902263459,114.557
167000,70.23809523809523,91.45246206255807,1.7119056121831824,115.251
168000,70.53571428571429,91.46794673273459,1.6913903285181684,115.935
169000,70.83333333333334,91.45246206255807,1.6876469730023378,116.615
170000,70.73412698412699,91.48343140291112,1.6791552921724264,117.297
171000,70.83333333333334,91.51440074326416,1.6790967407724586,117.975
