,,,
Antal H lag: 1|Nueroner pr lag 10,,,
46000,37.301587301587304,84.56178383400433,3.8468953594699444,51.156
47000,37.797619047619044,84.87147723753485,3.8100206505718317,52.265
48000,38.392857142857146,84.88696190771137,3.72732140335711,53.412
49000,38.59126984126984,84.94890058841746,3.7045440586774196,54.526
,,,
Antal H lag: 1|Nueroner pr lag 40,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,4.365079365079365,0.9910188912976153,11.476021768878056,0.204
1000,6.25,19.309383710126973,9.143642801821542,1.626
2000,11.21031746031746,35.521833384948906,8.446658027066842,3.03
3000,14.781746031746032,46.6862805822236,7.891357521941628,4.43
4000,18.055555555555554,55.01703313719418,7.637285152102548,5.816
5000,19.543650793650794,60.808299783214615,7.313341826878098,7.201
6000,21.32936507936508,64.49365128522763,7.139120679081853,8.591
7000,22.817460317460316,67.68349334159183,6.881081087522811,9.97
8000,23.809523809523807,69.97522452771756,6.678841323439669,11.351
9000,24.503968253968253,71.86435428925364,6.5188141221271385,12.731
10000,24.900793650793652,72.79343449984516,6.35799323578153,14.111
11000,25.396825396825395,74.2954475069681,6.219683704644535,15.495
12000,25.892857142857146,75.00774233508827,6.096580920284535,16.879
13000,26.190476190476193,76.04521523691545,5.955424397558952,18.27
14000,26.785714285714285,76.77299473521214,5.821940807324275,19.65
15000,26.884920634920633,77.64013626509755,5.77199217841939,21.032
16000,27.67857142857143,78.07370703004027,5.606239730419793,22.409
17000,28.273809523809522,78.42985444410034,5.465621397260421,23.79
18000,28.273809523809522,78.84794053886652,5.330127037997831,25.171
19000,28.47222222222222,79.34344998451533,5.243298316278429,26.558
20000,28.968253968253972,79.56023536698669,5.128138427629331,27.94
21000,29.166666666666668,79.83895943016414,5.020034689540242,29.318
22000,29.96031746031746,80.56673892846082,4.988896891761132,30.695
23000,30.753968253968257,80.81449365128522,4.872859139526007,32.078
24000,30.952380952380953,81.1087023846392,4.773334076656506,33.461
25000,31.547619047619047,81.49581913905234,4.7051615997383855,34.849
26000,32.142857142857146,82.0222979250542,4.659252423533589,36.236
27000,32.73809523809524,81.91390523381853,4.5093804510891475,37.634
28000,33.13492063492063,82.54877671105606,4.491752485444252,39.082
29000,33.92857142857143,82.54877671105606,4.395426082482939,40.49
30000,33.53174603174603,82.7036234128213,4.316001439483926,41.882
31000,34.523809523809526,82.90492412511612,4.240928481599489,43.27
32000,35.019841269841265,83.05977082688139,4.180864108048434,44.666
33000,35.714285714285715,83.19913285847011,4.131835499258928,46.061
34000,35.91269841269841,83.40043357076495,4.055533729106471,47.453
35000,36.7063492063492,83.60173428305977,4.001443661572845,48.841
36000,37.00396825396825,83.66367296376586,3.941307419140135,50.225
37000,37.40079365079365,84.050789718179,3.88198722005006,51.614
38000,38.095238095238095,84.26757510065036,3.8261699293429374,53
39000,38.69047619047619,84.3604831217095,3.7668881893772506,54.405
40000,39.08730158730159,84.56178383400433,3.7290285760649318,55.801
41000,39.78174603174603,84.65469185506349,3.6728416449500756,57.184
42000,40.07936507936508,84.59275317435738,3.585124238284827,58.57
43000,40.17857142857143,84.85599256735831,3.564300990874523,59.959
44000,40.37698412698413,84.96438525859399,3.5293740754451286,61.337
45000,41.269841269841265,85.2740786621245,3.475714926749752,62.721
46000,41.17063492063492,85.2740786621245,3.460631344743495,64.107
