,,,
Teties,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
66000,67.95634920634922,90.64725921337875,1.9621356200844653,198.996
67000,67.65873015873017,90.67822855373181,1.9943482401504613,201.98
68000,69.14682539682539,90.66274388355528,1.921307815963262,204.971
69000,68.65079365079364,90.86404459585012,1.9470752472705621,207.961
70000,68.84920634920636,91.01889129761535,1.924573802747266,210.944
71000,69.14682539682539,91.06534530814494,1.9002193513367682,213.929
72000,69.64285714285714,91.04986063796842,1.9024133978603133,216.913
73000,70.23809523809523,91.01889129761535,1.832490853095368,219.913
74000,70.13888888888889,91.1737379993806,1.8314111756995881,222.898
75000,70.03968253968253,91.29761536079282,1.8589740316156766,225.887
76000,71.13095238095238,91.35955404149891,1.8108271997980245,228.88
77000,71.13095238095238,91.46794673273459,1.775053402227882,231.867
78000,70.83333333333334,91.45246206255807,1.7920572587964139,234.856
79000,71.32936507936508,91.45246206255807,1.7683852970776144,237.833
80000,71.32936507936508,91.51440074326416,1.7504960738585837,240.82
81000,71.62698412698413,91.57633942397027,1.7511761506795422,243.816
82000,71.62698412698413,91.46794673273459,1.7211409023049755,246.818
83000,72.22222222222221,91.49891607308764,1.664232688196353,249.83
84000,72.12301587301587,91.60730876432332,1.7072243661820772,252.828
85000,72.02380952380952,91.56085475379373,1.6371839402507775,255.824
86000,72.12301587301587,91.62279343449985,1.6710887270801111,258.817
87000,71.62698412698413,91.77764013626509,1.6689836554228266,261.803
88000,72.32142857142857,91.79312480644163,1.6468755456239956,264.809
89000,72.71825396825396,91.87054815732425,1.6476638607772032,267.818
90000,72.81746031746032,91.91700216785382,1.6111680618812148,270.825
91000,73.01587301587301,91.97894084855992,1.6171354498322672,273.814
92000,72.81746031746032,91.9015174976773,1.5641286057199653,276.809
93000,73.4126984126984,92.08733353979561,1.582498943249496,279.803
94000,73.4126984126984,92.13378755032518,1.5599351885518127,282.807
95000,73.61111111111111,92.2731495819139,1.5947672933154746,285.827
96000,73.61111111111111,92.22669557138433,1.5387719136603177,288.834
97000,74.20634920634922,92.30411892226695,1.5227189915614852,291.829
98000,73.90873015873017,92.24218024156086,1.5300786808065259,294.822
99000,74.10714285714286,92.1492722205017,1.5131400952703198,297.821
100000,74.20634920634922,92.24218024156086,1.5062709077505745,300.823
101000,74.40476190476191,92.28863425209043,1.49253701338812,303.812
102000,74.10714285714286,92.36605760297306,1.5075822660693776,306.806
103000,74.20634920634922,92.39702694332611,1.5005927007881064,309.809
104000,74.30555555555556,92.50541963456178,1.488441937623486,312.811
