,,,
Batch:1. Learning rate: 0.001,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
110000,55.05952380952381,83.66367296376586,2.336373478222762,52.012
111000,57.14285714285714,85.53731805512543,2.3075118668459726,52.471
112000,59.42460317460318,86.20315887271602,2.2063950183692205,52.93
113000,59.82142857142857,86.34252090430475,2.1086679496344254,53.39
114000,58.82936507936508,86.06379684112729,2.1460538805548803,53.851
115000,59.02777777777778,85.58377206565501,2.1460298610207618,54.318
116000,59.32539682539682,85.13471663053576,2.1417572633260495,54.777
117000,58.333333333333336,85.38247135336017,2.2485882927503793,55.235
118000,60.813492063492056,86.45091359554041,2.158381548198895,55.695
119000,59.32539682539682,85.3360173428306,2.2149350688947673,56.155
120000,60.813492063492056,85.97088882006814,2.0562249563129833,56.614
121000,57.638888888888886,84.37596779188603,2.1753174181238335,57.078
122000,58.53174603174603,85.01083926912358,2.1379291091707455,57.538
123000,58.63095238095239,84.29854444100341,2.1737209806625177,57.999
124000,59.523809523809526,85.22762465159492,2.182006613923828,58.46
125000,57.14285714285714,84.67017652524001,2.2178742258224515,58.92
126000,60.813492063492056,85.49086404459585,2.073988737379879,59.381
127000,59.523809523809526,85.1502013007123,2.112007910188761,59.841
128000,61.50793650793651,85.2740786621245,2.0697847623747503,60.302
129000,59.82142857142857,85.61474140600805,2.1039883993888844,60.762
130000,61.50793650793651,84.91793124806442,2.067081508198755,61.221
131000,60.61507936507936,85.30504800247755,2.162346631215477,61.68
132000,61.111111111111114,85.04180860947662,2.067735927458192,62.145
133000,61.50793650793651,85.2121399814184,2.0728108519325854,62.604
134000,62.698412698412696,85.28956333230101,1.9932554823076754,63.063
135000,61.30952380952381,85.58377206565501,2.143613557881327,63.521
136000,60.416666666666664,84.91793124806442,2.1096244908662793,63.981
137000,60.912698412698404,85.83152678847941,2.106479333075117,64.442
138000,59.42460317460318,85.55280272530194,2.1841583093240593,64.9
139000,60.11904761904761,85.25859399194798,2.139303077036298,65.363
140000,60.71428571428571,85.07277794982967,2.1201333107548623,65.824
141000,59.92063492063492,85.24310932177144,2.1079663421679533,66.286
142000,61.408730158730165,85.83152678847941,2.1042783859600376,66.747
143000,59.92063492063492,85.04180860947662,2.1133928630956382,67.205
144000,62.301587301587304,85.83152678847941,1.9666580730187733,67.663
145000,60.912698412698404,85.84701145865593,2.0987671182885093,68.123
146000,60.51587301587301,86.31155156395168,2.0558663004358455,68.584
147000,59.32539682539682,85.86249612883246,2.1546463817873294,69.048
148000,59.72222222222222,86.09476618148034,2.0996164801682493,69.509
149000,59.32539682539682,85.83152678847941,2.113969538069486,69.967
150000,58.333333333333336,85.22762465159492,2.1993973795992576,70.427
151000,59.226190476190474,84.46887581294519,2.222934369972664,70.887
152000,59.72222222222222,84.46887581294519,2.167873535383846,71.349
153000,59.72222222222222,85.50634871477237,2.1665530418756394,71.809
154000,59.42460317460318,84.94890058841746,2.2167468757246747,72.267
155000,58.13492063492064,85.72313409724373,2.2534851167741623,72.729
156000,59.12698412698413,84.91793124806442,2.138082632340269,73.19
157000,60.71428571428571,85.84701145865593,2.1430248912966765,73.65
158000,61.21031746031746,86.28058222359863,2.063817698809677,74.109
159000,61.60714285714286,85.24310932177144,2.096588345809877,74.569
160000,62.202380952380956,85.97088882006814,2.090541655853282,75.033
161000,63.988095238095234,85.11923196035924,2.049970851761824,75.493
162000,60.912698412698404,85.66119541653762,2.0623987907757226,75.953
163000,59.12698412698413,84.94890058841746,2.2127381956976264,76.412
164000,60.51587301587301,85.08826262000619,2.1851318911681634,76.878
165000,61.904761904761905,85.2740786621245,2.169527139449355,77.338
166000,60.61507936507936,85.55280272530194,2.174581643323037,77.8
167000,61.50793650793651,85.38247135336017,2.065600884287627,78.261
168000,60.71428571428571,85.30504800247755,2.1751102058134055,78.72
169000,60.317460317460316,85.63022607618458,2.205714818972684,79.18
170000,60.813492063492056,84.80953855682873,2.059497655076227,79.638
171000,61.60714285714286,85.47537937441932,2.0743966950187485,80.1
172000,61.30952380952381,84.96438525859399,2.1930694222407783,80.56
173000,59.226190476190474,85.41344069371323,2.184784840661973,81.02
174000,58.63095238095239,84.29854444100341,2.1767208309251216,81.48
175000,57.53968253968254,84.59275317435738,2.2032114027482543,81.94
176000,58.333333333333336,84.37596779188603,2.102528106942835,82.405
177000,58.730158730158735,84.88696190771137,2.1145334619809235,82.864
178000,57.738095238095234,84.59275317435738,2.245790449106614,83.325
179000,56.94444444444444,85.16568597088882,2.26620887517823,83.782
180000,57.936507936507944,85.18117064106534,2.185773514459706,84.241
