Antal H lag: 1|Nueroner pr lag 50,,,,,,,,,,,,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,,,,,
8000,50.79365079,87.92195726,2.749429472,3.794,,,,,,,,,,,
9000,53.67063492,88.88200681,2.582517091,4.233,,,,,,,,,,,
10000,53.47222222,88.49489006,2.408647564,4.675,,,,,,,,,,,
11000,57.73809524,89.64075565,2.211933882,5.116,,,,,,,,,,,
12000,58.73015873,90.18271911,2.180013997,5.555,,,,,,,,,,,
13000,60.61507937,90.55435119,2.085948066,5.993,,,,,,,,,,,
14000,63.39285714,91.12728399,1.952100278,6.434,,,,,,,,,,,
15000,64.08730159,91.12728399,1.877424122,6.872,,,,,,,,,,,
16000,64.98015873,91.6382781,1.781600117,7.319,,,,,,,,,,,
17000,67.36111111,92.0563642,1.669857261,7.76,,,,,,,,,,,
18000,67.75793651,92.22669557,1.643306594,8.199,,,,,,,,,,,
19000,67.75793651,92.39702694,1.631834904,8.638,,,,,,,,,,,
20000,68.65079365,92.50541963,1.589509438,9.076,,,,,,,,,,,
21000,69.54365079,92.629297,1.504739986,9.515,,,,,,,,,,,
22000,71.82539683,92.9389904,1.463163663,9.955,,,,,,,,,,,
23000,73.11507937,93.04738309,1.415970836,10.393,,,,,,,,,,,
24000,73.80952381,93.54289254,1.403884147,10.834,,,,,,,,,,,
25000,74.50396825,93.57386188,1.379890874,11.276,,,,,,,,,,,
26000,75.09920635,93.65128523,1.286439288,11.734,,,,,,,,,,,
27000,76.58730159,93.80613193,1.249073471,12.178,,,,,,,,,,,
28000,77.28174603,94.03840198,1.246904756,12.616,,,,,,,,,,,
29000,77.97619048,94.16227934,1.213773571,13.056,,,,,,,,,,,
30000,78.86904762,94.17776401,1.163134531,13.494,,,,,,,,,,,
31000,80.05952381,94.59585011,1.155288626,13.933,,,,,,,,,,,
32000,79.56349206,94.58036544,1.172391462,14.371,,,,,,,,,,,
33000,81.15079365,94.58036544,1.11012193,14.808,,,,,,,,,,,
34000,80.75396825,94.65778879,1.115009836,15.245,,,,,,,,,,,
35000,79.56349206,94.59585011,1.127038192,15.683,,,,,,,,,,,
36000,79.86111111,94.64230412,1.13065696,16.123,,,,,,,,,,,
37000,81.15079365,94.89005884,1.107205263,16.563,,,,,,,,,,,
38000,80.95238095,94.90554351,1.097565529,17.002,,,,,,,,,,,
39000,81.54761905,95.06039021,1.093124767,17.44,,,,,,,,,,,
40000,81.6468254,94.95199752,1.087808767,17.879,,,,,,,,,,,
41000,81.54761905,95.0139362,1.095917226,18.318,,,,,,,,,,,
42000,82.24206349,95.10684422,1.036444906,18.758,,,,,,,,,,,
43000,82.63888889,95.18426758,1.030805027,19.201,,,,,,,,,,,
44000,82.34126984,95.18426758,1.013247814,19.642,,,,,,,,,,,
45000,82.63888889,95.35459895,0.997075601,20.08,,,,,,,,,,,
46000,83.82936508,95.4320223,0.98511981,20.519,,,,,,,,,,,
47000,83.33333333,95.49396098,1.001693033,20.958,,,,,,,,,,,
48000,84.42460317,95.52493032,0.949049161,21.396,,,,,,,,,,,
