Antal H lag: 1|Nueroner pr lag 50,,,,,,,,,,,Lag 1,Lag 2,Lag 3,Lag 4,Lag 5
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,48.41269841,52.57936508,55.45634921,50.1984127,24.4047619
10000,24.6031746,68.30288015,6.900141505,5.032,,,,,,,,,,,
11000,25.09920635,70.08361722,6.755367254,5.506,,,,,,,,,,,
12000,25.5952381,70.82688139,6.635810472,5.98,,,,,,,,,,,
13000,25.49603175,71.78693094,6.518966649,6.455,,,,,,,,,,,
14000,25.89285714,72.65407247,6.348917838,6.935,,,,,,,,,,,
15000,26.58730159,73.86187674,6.25218634,7.409,,,,,,,,,,,
16000,26.88492063,74.2489935,6.078338885,7.888,,,,,,,,,,,
17000,28.07539683,75.17807371,5.973207191,8.361,,,,,,,,,,,
18000,28.76984127,75.87488386,5.878971905,8.836,,,,,,,,,,,
19000,29.26587302,76.26200062,5.781186762,9.319,,,,,,,,,,,
20000,29.46428571,76.74202539,5.695886742,9.793,,,,,,,,,,,
21000,29.76190476,77.33044286,5.586732688,10.268,,,,,,,,,,,
22000,30.05952381,77.81046764,5.532147682,10.741,,,,,,,,,,,
23000,30.55555556,78.35243109,5.454597026,11.215,,,,,,,,,,,
24000,31.25,78.89439455,5.334154956,11.687,,,,,,,,,,,
25000,31.6468254,79.20408795,5.230308334,12.166,,,,,,,,,,,
26000,31.15079365,79.56023537,5.234277349,12.64,,,,,,,,,,,
27000,31.54761905,79.79250542,5.10812447,13.112,,,,,,,,,,,
28000,32.24206349,79.97832146,5.017770113,13.584,,,,,,,,,,,
29000,32.83730159,80.30349954,4.922091268,14.059,,,,,,,,,,,
30000,33.03571429,80.48931558,4.912969725,14.531,,,,,,,,,,,
31000,33.13492063,80.62867761,4.88771792,15.004,,,,,,,,,,,
32000,33.23412698,80.92288634,4.837647576,15.485,,,,,,,,,,,
33000,33.73015873,81.35645711,4.712115314,15.957,,,,,,,,,,,
34000,33.82936508,81.51130381,4.686732864,16.429,,,,,,,,,,,
