Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Accuracy,Err,Time
31000,66.07142857,0.012969097,1151.886
32000,67.65873016,0.012647827,1188.991
33000,67.65873016,0.012569332,1226.149
34000,68.65079365,0.012200762,1263.243
35000,68.65079365,0.012221939,1300.338
36000,69.54365079,0.011823363,1337.457
37000,69.84126984,0.011837647,1374.551
38000,70.73412698,0.011651532,1411.685
39000,69.94047619,0.011716658,1448.847
40000,71.13095238,0.011242862,1485.935
41000,71.52777778,0.011207691,1523.055
42000,71.23015873,0.011270369,1560.207
43000,71.72619048,0.011095134,1597.301
44000,71.72619048,0.010792135,1634.418
45000,72.61904762,0.010657115,1671.507
46000,72.42063492,0.01061849,1708.6
47000,72.22222222,0.010688951,1745.7
48000,73.41269841,0.010244068,1782.835
49000,73.51190476,0.010216719,1819.939
,,,
Antal H lag: 3|Nueroner pr lag 5,,,
Cycles,Accuracy,Err,Time
0,2.083333333,0.027159214,0.114
1000,4.464285714,0.028092166,6.188
2000,6.150793651,0.028078447,12.26
3000,3.968253968,0.027775212,18.33
4000,7.043650794,0.027638493,24.403
5000,9.424603175,0.027530447,30.477
6000,8.531746032,0.027364157,36.549
7000,9.424603175,0.027339247,42.625
8000,7.44047619,0.027358587,48.698
9000,9.821428571,0.027316402,54.772
10000,10.01984127,0.027254659,60.844
11000,9.325396825,0.027195957,66.916
12000,11.50793651,0.027074491,72.988
13000,9.722222222,0.027034621,79.061
14000,10.81349206,0.027181932,85.131
15000,10.71428571,0.027329324,91.203
16000,8.73015873,0.027295557,97.292
17000,8.134920635,0.027322903,103.367
18000,9.126984127,0.027535659,109.446
19000,8.73015873,0.027599671,115.517
20000,12.20238095,0.027573077,121.59
21000,8.73015873,0.028045472,127.663
22000,9.821428571,0.027775334,133.733
23000,10.11904762,0.02760459,139.804
24000,9.623015873,0.02796044,145.876
25000,14.08730159,0.028222194,151.949
26000,11.9047619,0.02829833,158.024
27000,13.29365079,0.028501124,164.097
28000,11.70634921,0.028466922,170.176
29000,11.21031746,0.028673554,176.25
30000,10.01984127,0.028914183,182.323
31000,10.61507937,0.0285091,188.396
32000,12.1031746,0.028274414,194.474
33000,9.623015873,0.02843541,200.544
34000,12.1031746,0.028210943,206.626
35000,11.30952381,0.028346934,212.709
36000,13.78968254,0.028142303,218.788
37000,12.8968254,0.02805367,224.861
38000,12.20238095,0.028143331,230.94
39000,12.79761905,0.027917689,237.013
40000,14.88095238,0.028025124,243.084
41000,8.134920635,0.028982067,249.162
42000,11.9047619,0.028754612,255.237
43000,10.51587302,0.029143981,261.32
44000,10.41666667,0.029167322,267.391
45000,13.0952381,0.028991233,273.464
46000,15.37698413,0.029412373,279.538
47000,15.37698413,0.029014076,285.611
