
,,,
Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
1000,45.792,0.09000946,10.478571
2000,75.587,0.08959315,15.507142
3000,105.418,0.08918822,21.057142
4000,135.23,0.08875815,19.314285
5000,165.034,0.08778937,18.388096
6000,194.808,0.08543101,22.509523
7000,224.685,0.08284031,27.304762
8000,254.539,0.07978196,37.75238
9000,284.378,0.07777381,41.059525
10000,314.187,0.07489004,43.42857
11000,344.027,0.07287652,48.133335
12000,373.822,0.07118594,50.95238
13000,403.709,0.06836846,51.87381
14000,433.517,0.067598924,52.340477
15000,463.34,0.06593832,52.685715
16000,493.198,0.065411076,54.683334
17000,523.025,0.0639949,54.316666
18000,552.857,0.06408225,52.3
19000,582.652,0.062460758,54.280956
20000,612.454,0.06309818,54.7
21000,642.258,0.06116801,55.083336
22000,672.145,0.0613091,55.04286
23000,701.978,0.058772776,55.65
24000,731.826,0.05881945,57.561905
25000,761.659,0.059160285,56.811905
26000,791.47,0.058357585,57.211906
27000,821.297,0.05711596,59.380955
28000,851.163,0.05860183,57.23571
29000,880.997,0.05607221,59.035713
,,,
Teties,,,
Cycles,Time,Err,Accuracy
0,1.55,0.118046075,5.253054
1000,7.63,0.06673823,68.62129
2000,13.711,0.054988965,87.27748
3000,19.803,0.05120562,87.92321
4000,25.9,0.04727684,91.20419
5000,32.011,0.04486534,91.88482
6000,38.087,0.043301847,91.7103
7000,44.158,0.04120369,92.68761
8000,50.23,0.03976887,92.84468
9000,56.302,0.038317543,93.333336
10000,62.474,0.03700553,93.52531
11000,68.585,0.035839003,93.71728
12000,74.717,0.034489576,93.90925
13000,80.864,0.033893563,94.066315
,,,
Teties,,,
Cycles,Time,Err,Accuracy
0,0.084,0.11056438,11.071428
1000,4.729,0.06507683,66.07143
2000,9.378,0.053042818,93.571434
3000,13.992,0.050410885,94.64286
4000,18.609,0.048785098,96.07143
